utente;probability;nfeatures;fold;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;0.0;0;0;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.5275252316519468;1.5275252316519468;1.5275252316519468;0.9020979020979021;0.9020979020979021;0.9020979020979021
http://soa4all.isoco.net/luf/users/movies13;0.0;0;1;0.9166666666666666;0.9166666666666666;0.9166666666666666;1.1902380714238083;1.1902380714238083;1.1902380714238083;0.9405594405594405;0.9405594405594405;0.9405594405594405
http://soa4all.isoco.net/luf/users/movies13;0.0;0;2;1.0833333333333333;1.0833333333333333;1.0833333333333333;1.3844373104863459;1.3844373104863459;1.3844373104863459;0.9195804195804196;0.9195804195804196;0.9195804195804196
http://soa4all.isoco.net/luf/users/movies13;0.0;0;3;1.0833333333333333;1.0833333333333333;1.0833333333333333;1.4433756729740645;1.4433756729740645;1.4433756729740645;0.9125874125874126;0.9125874125874126;0.9125874125874126
http://soa4all.isoco.net/luf/users/movies13;0.0;0;4;0.8181818181818182;0.8181818181818182;0.8181818181818182;1.1677484162422844;1.1677484162422844;1.1677484162422844;0.9318181818181819;0.9318181818181819;0.9318181818181819
http://soa4all.isoco.net/luf/users/movies13;0.0;0;5;1.1818181818181819;1.1818181818181819;1.1818181818181819;1.381698559415515;1.381698559415515;1.381698559415515;0.9045454545454545;0.9045454545454545;0.9045454545454545
http://soa4all.isoco.net/luf/users/movies13;0.0;0;6;1.0909090909090908;1.0909090909090908;1.0909090909090908;1.348399724926484;1.348399724926484;1.348399724926484;0.9090909090909091;0.9090909090909091;0.9090909090909091
http://soa4all.isoco.net/luf/users/movies13;0.0;0;7;1.0;1.0;1.0;1.243163121016122;1.243163121016122;1.243163121016122;0.9227272727272727;0.9227272727272727;0.9227272727272727
http://soa4all.isoco.net/luf/users/movies13;0.0;0;8;1.3636363636363635;1.3636363636363635;1.3636363636363635;1.5075567228888183;1.5075567228888183;1.5075567228888183;0.8863636363636364;0.8863636363636364;0.8863636363636364
http://soa4all.isoco.net/luf/users/movies13;0.0;0;9;1.8181818181818181;1.8181818181818181;1.8181818181818181;2.256304299271065;2.256304299271065;2.256304299271065;0.7454545454545455;0.7454545454545455;0.7454545454545455
http://soa4all.isoco.net/luf/users/movies416;0.0;0;0;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.632993161855452;1.632993161855452;1.632993161855452;0.8;0.8;0.8
http://soa4all.isoco.net/luf/users/movies416;0.0;0;1;2.2222222222222223;2.2222222222222223;2.2222222222222223;2.3570226039551585;2.3570226039551585;2.3570226039551585;0.5833333333333333;0.5833333333333333;0.5833333333333333
http://soa4all.isoco.net/luf/users/movies416;0.0;0;2;2.4444444444444446;2.4444444444444446;2.4444444444444446;2.581988897471611;2.581988897471611;2.581988897471611;0.5;0.5;0.5
http://soa4all.isoco.net/luf/users/movies416;0.0;0;3;1.4444444444444444;1.4444444444444444;1.4444444444444444;2.0275875100994063;2.0275875100994063;2.0275875100994063;0.6916666666666667;0.6916666666666667;0.6916666666666667
http://soa4all.isoco.net/luf/users/movies416;0.0;0;4;2.4444444444444446;2.4444444444444446;2.4444444444444446;2.581988897471611;2.581988897471611;2.581988897471611;0.5;0.5;0.5
http://soa4all.isoco.net/luf/users/movies416;0.0;0;5;1.6666666666666667;1.6666666666666667;1.6666666666666667;1.9720265943665387;1.9720265943665387;1.9720265943665387;0.7083333333333333;0.7083333333333333;0.7083333333333333
http://soa4all.isoco.net/luf/users/movies416;0.0;0;6;2.25;2.25;2.25;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.45238095238095233;0.45238095238095233;0.45238095238095233
http://soa4all.isoco.net/luf/users/movies416;0.0;0;7;2.25;2.25;2.25;2.3979157616563596;2.3979157616563596;2.3979157616563596;0.45238095238095233;0.45238095238095233;0.45238095238095233
http://soa4all.isoco.net/luf/users/movies416;0.0;0;8;1.75;1.75;1.75;2.0;2.0;2.0;0.6190476190476191;0.6190476190476191;0.6190476190476191
